station_name,station,agency,region,lat_deg,lon_deg,lat_dec,lon_dec,elevation_m,start,end
Bhur,Bhur,NA,NA,1.12099537,3.768078704,26.90388889,90.43388889,375,1-1-1996,23-8-2020
Chamkhar,Chamkhar,NA,NA,1.147511574,3.781458333,27.54027778,90.755,2470,1-1-2003,31-8-2020
Dagana Dzong,Dagana,NA,NA,1.127962963,3.744780093,27.07111111,89.87472222,1460,1-1-2014,31-8-2020
Damphu,Damphu,NA,NA,1.125,3.755069444,27,90.12166667,1520,1-1-1996,31-7-2020
Deothang,Deothang,NA,NA,1.118993056,3.811111111,26.85583333,91.46666667,300,1-1-2003,31-8-2020
Gasakhatey,Gasa,NA,NA,1.1625,3.73818287,27.9,89.71638889,2760,1-1-2003,31-8-2020
"Haa, Namjayling",Haa,NA,NA,1.141168981,3.720081019,27.38805556,89.28194444,2720,1-1-1996,31-8-2020
Kanglung,Kanglung,NA,NA,1.136770833,3.813425926,27.2825,91.52222222,1930,1-1-1996,31-8-2020
Mongar,Mongar,NA,NA,1.136597222,3.801597222,27.27833333,91.23833333,1600,1-1-1996,31-8-2020
Paro DSC,Paro,NA,NA,1.140960648,3.725833333,27.38305556,89.42,2406,1-1-1996,31-8-2020
Pemagatshel,Pemagatshel,NA,NA,1.126041667,3.809340278,27.025,91.42416667,1618,1-1-1996,31-8-2020
Phuentsholing,Phuntsholing,NA,NA,1.119155093,3.724537037,26.85972222,89.38888889,220,1-1-1996,31-7-2020
Punakha,Punakha,NA,NA,1.149236111,3.74443287,27.58166667,89.86638889,1236,1-1-1996,31-8-2020
Simtokha,Simtokha,NA,NA,1.143263889,3.736469907,27.43833333,89.67527778,2310,1-1-2000,31-8-2020
Sipsu,Sipsu,NA,NA,1.125694444,3.702766204,27.01666667,88.86638889,550,1-1-1996,31-8-2020
Tangmachu,Tangmachu,NA,NA,NA,NA,27.67008222,91.18264526,1338,NA,
Tashiyangtse,Trashiyangtse,NA,NA,1.15,3.8125,27.6,91.5,1830,1-1-1996,31-7-2020
Trongsa,Trongsa,NA,NA,1.145914352,3.771041667,27.50194444,90.505,2120,1-1-2000,31-7-2020
Wangdue RNRRC,Wangdue,NA,NA,1.145277778,3.745868056,27.48666667,89.90083333,1180,1-1-2000,31-8-2020
Zhemgang,Zhemgang,NA,NA,1.133680556,3.777303241,27.20833333,90.65527778,1905,1-1-1996,31-7-2020
